angry,disgust,fear,happy,sad,surprise,neutral
3.7080856e-05,2.2804382e-11,0.0032352,99.91183,0.005480995,1.3520826e-06,0.07941165
3.6882317e-05,3.3321798e-12,0.0037805089,99.95228,0.0006831468,3.9552154e-07,0.043222208
4.286468e-05,1.2790762e-11,0.005930391,99.95247,0.0012300654,1.1762999e-06,0.040328406
5.3178032e-06,3.3139575e-13,0.00024620682,99.99657,0.00039108662,3.1623995e-09,0.002788063
0.00010465639,4.2066858e-14,7.195236,0.010106087,2.5267625,0.00046847467,90.26733
0.00080214883,9.517704e-12,6.9951267,79.12992,10.154719,0.00042848388,3.7190075
3.4814789e-06,7.2258367e-13,0.002432079,99.977295,0.0007959403,1.3575277e-07,0.01946737
4.0731356e-06,5.984468e-13,0.0013744931,99.9754,0.0006314626,1.8482021e-07,0.022592392
8.759932e-05,8.512401e-12,0.040388733,99.87628,0.028216098,6.8628545e-08,0.05502318
0.06137077,1.6944192e-06,0.87052256,95.68461,1.1102319,0.00011308095,2.273153
0.0011831676,2.1842181e-09,0.29565313,99.65366,0.0021463763,2.441151e-05,0.047331963
0.0014038532,6.023762e-11,1.4311527,98.39889,0.014276894,1.5639249e-05,0.1542521
